"","type","modelnum","variable","value"
"65788","LOBD","0Raw","MBE",7.04102367032817
"65789","LOBD","0Raw","MBE",7.0720642328677
"65790","LOBD","0Raw","MBE",4.58082872287659
"65791","LOBD","0Raw","MBE",3.30869744245084
"65792","LOBD","0Raw","MBE",3.8370571377414
"65793","LOBD","0Raw","MBE",3.61626187726533
"65794","LOBD","0Raw","MBE",4.84251861455241
"65795","LOBD","0Raw","MBE",3.61540751942402
"65796","LOBD","0Raw","MBE",4.19998933690572
"65797","LOBD","0Raw","MBE",2.77787820988611
"65798","LOBD","0Raw","MBE",5.99688304540048
"65799","LOBD","0Raw","MBE",7.28247880267042
"65800","LOBD","0Raw","MBE",7.68239551815682
"65801","LOBD","0Raw","MBE",4.26005352172621
"65802","LOBD","0Raw","MBE",3.18551757630111
"65803","LOBD","0Raw","MBE",4.38234195143337
"65804","LOBD","0Raw","MBE",2.87475263947001
"65805","LOBD","0Raw","MBE",3.69175245509146
"65806","LOBD","0Raw","MBE",7.71609057934196
"65807","LOBD","0Raw","MBE",3.46557063290595
"65808","LOBD","0Raw","MBE",3.61417579076785
"65809","LOBD","0Raw","MBE",5.31026387337977
"65810","LOBD","0Raw","MBE",5.64948950176541
"65811","LOBD","0Raw","MBE",7.16267922976798
"65812","LOBD","0Raw","MBE",6.80827052987167
"65813","LOBD","0Raw","MBE",6.86080890114944
"65814","LOBD","0Raw","MBE",4.2998633260481
"65815","LOBD","0Raw","MBE",2.99198263607273
"65816","LOBD","0Raw","MBE",3.5352537879304
"65817","LOBD","0Raw","MBE",3.33943904497334
"65818","LOBD","0Raw","MBE",4.59851990569742
"65819","LOBD","0Raw","MBE",3.34442800201302
"65820","LOBD","0Raw","MBE",3.97271532669685
"65821","LOBD","0Raw","MBE",2.45298200530013
"65822","LOBD","0Raw","MBE",5.61121120280335
"65823","LOBD","0Raw","MBE",6.82876584684325
"65824","LOBD","0Raw","MBE",7.13579654746987
"65825","LOBD","0Raw","MBE",2.70189447364006
"65826","LOBD","0Raw","MBE",3.78195040840886
"65827","LOBD","0Raw","MBE",2.52761989339796
"65828","LOBD","0Raw","MBE",3.2034507091664
"65829","LOBD","0Raw","MBE",6.55234661449633
"65830","LOBD","0Raw","MBE",2.94743831988283
"65831","LOBD","0Raw","MBE",3.06806504516019
"65832","LOBD","0Raw","MBE",4.58953682527663
"65833","LOBD","0Raw","MBE",5.03361389972015
"65834","LOBD","0Raw","MBE",6.27804063614485
"65835","LOBD","0Raw","MBE",6.18889407551806
"65836","LOBD","0Raw","MBE",6.28685770045909
"65837","LOBD","0Raw","MBE",3.940930652281
"65838","LOBD","0Raw","MBE",2.76102633581821
"65839","LOBD","0Raw","MBE",3.25001477506426
"65840","LOBD","0Raw","MBE",3.09777394897414
"65841","LOBD","0Raw","MBE",4.2495431471681
"65842","LOBD","0Raw","MBE",3.10692818322388
"65843","LOBD","0Raw","MBE",3.7108317798585
"65844","LOBD","0Raw","MBE",2.28056200173109
"65845","LOBD","0Raw","MBE",4.89605585322264
"65846","LOBD","0Raw","MBE",5.70652314248051
"65847","LOBD","0Raw","MBE",5.72837284644295
"65848","LOBD","0Raw","MBE",3.14740611768245
"65849","LOBD","0Raw","MBE",1.96714628999304
"65850","LOBD","0Raw","MBE",2.59859985071742
"65851","LOBD","0Raw","MBE",5.7509104080483
